Area,Item,Element,Year,Value
China,Sugar Crops Primary,Area harvested,1996,1900182
China,Sugar Crops Primary,Yield,1996,46304.4
China,Sugar Crops Primary,Production,1996,87986748
China,Sugar Crops Primary,Area harvested,1997,1973265
China,Sugar Crops Primary,Yield,1997,49652.3
China,Sugar Crops Primary,Production,1997,97977089
China,Sugar Crops Primary,Area harvested,1998,2031955
China,Sugar Crops Primary,Yield,1998,50035.7
China,Sugar Crops Primary,Production,1998,101670223
China,Sugar Crops Primary,Area harvested,1999,1686199
China,Sugar Crops Primary,Yield,1999,51445.2
China,Sugar Crops Primary,Production,1999,86746790
China,Sugar Crops Primary,Area harvested,2000,1552584
China,Sugar Crops Primary,Yield,2000,51122.5
China,Sugar Crops Primary,Production,2000,79372030
China,Sugar Crops Primary,Area harvested,2001,1687238
China,Sugar Crops Primary,Yield,2001,52662.6
China,Sugar Crops Primary,Production,2001,88854289
China,Sugar Crops Primary,Area harvested,2002,1844820
China,Sugar Crops Primary,Yield,2002,56928.3
China,Sugar Crops Primary,Production,2002,105022531
China,Sugar Crops Primary,Area harvested,2003,1680230
China,Sugar Crops Primary,Yield,2003,58456.8
China,Sugar Crops Primary,Production,2003,98220800
China,Sugar Crops Primary,Area harvested,2004,1582959
China,Sugar Crops Primary,Yield,2004,61215.5
China,Sugar Crops Primary,Production,2004,96901550
China,Sugar Crops Primary,Area harvested,2005,1575757
China,Sugar Crops Primary,Yield,2005,60580
China,Sugar Crops Primary,Production,2005,95459312
China,Sugar Crops Primary,Area harvested,2006,1577940
China,Sugar Crops Primary,Yield,2006,66741.4
China,Sugar Crops Primary,Production,2006,105313957
China,Sugar Crops Primary,Area harvested,2007,1812343
China,Sugar Crops Primary,Yield,2007,67681.8
China,Sugar Crops Primary,Production,2007,122662617
China,Sugar Crops Primary,Area harvested,2008,2000450
China,Sugar Crops Primary,Yield,2008,67465.7
China,Sugar Crops Primary,Production,2008,134961702
China,Sugar Crops Primary,Area harvested,2009,1893872
China,Sugar Crops Primary,Yield,2009,65173.3
China,Sugar Crops Primary,Production,2009,123429972
China,Sugar Crops Primary,Area harvested,2010,1914844
China,Sugar Crops Primary,Yield,2010,63084.7
China,Sugar Crops Primary,Production,2010,120797383
China,Sugar Crops Primary,Area harvested,2011,1956975
China,Sugar Crops Primary,Yield,2011,64310.5
China,Sugar Crops Primary,Production,2011,125853960
China,Sugar Crops Primary,Area harvested,2012,2039113
China,Sugar Crops Primary,Yield,2012,66417
China,Sugar Crops Primary,Production,2012,135431817
China,Sugar Crops Primary,Area harvested,2013,2006783
China,Sugar Crops Primary,Yield,2013,68764.3
China,Sugar Crops Primary,Production,2013,137994938
China,Sugar Crops Primary,Area harvested,2014,1907168
China,Sugar Crops Primary,Yield,2014,70341.9
China,Sugar Crops Primary,Production,2014,134153869
China,Sugar Crops Primary,Area harvested,2015,1581466
China,Sugar Crops Primary,Yield,2015,71336.9
China,Sugar Crops Primary,Production,2015,112816911
China,Sugar Crops Primary,Area harvested,2016,1565642
China,Sugar Crops Primary,Yield,2016,71749.1
China,Sugar Crops Primary,Production,2016,112333445
China,Sugar Crops Primary,Area harvested,2017,1553892
China,Sugar Crops Primary,Yield,2017,73550.9
China,Sugar Crops Primary,Production,2017,114290105
China,Sugar Crops Primary,Area harvested,2018,1631103
China,Sugar Crops Primary,Yield,2018,73567.1
China,Sugar Crops Primary,Production,2018,119995571
China,Sugar Crops Primary,Area harvested,2019,1618283
China,Sugar Crops Primary,Yield,2019,75534.6
China,Sugar Crops Primary,Production,2019,122236347
China,Sugar Crops Primary,Area harvested,2020,1574676
China,Sugar Crops Primary,Yield,2020,76609.9
China,Sugar Crops Primary,Production,2020,120635796
China,Sugar Crops Primary,Area harvested,2021,1465669
China,Sugar Crops Primary,Yield,2021,78537.1
China,Sugar Crops Primary,Production,2021,115109424
China,Sugar Crops Primary,Area harvested,2022,1459935
